time,value
1696500841.5209172,3.75
1696500844.8521957,3.4499999999999997
1696500848.1598377,1.95
1696500851.492772,1.7999999999999998
1696500854.8258426,2.4
1696500858.1358871,2.6999999999999997
1696500861.4667592,1.95
1696500864.788452,1.65
1696500868.1495261,2.6999999999999997
1696500871.4427836,2.1
1696500874.7601817,3.0
1696500878.0733745,3.4499999999999997
1696500881.4129572,3.9
1696500884.743321,4.95
1696500888.0493364,6.6
1696500891.3805413,4.6499999999999995
1696500894.702677,6.0
1696500898.019649,5.1
1696500902.195969,2.25
1696500905.5893946,1.5
1696500914.9059494,1.5
1696500926.0819104,5.3999999999999995
1696500929.812086,7.949999999999999
1696500933.1289792,8.7
1696500936.470009,9.15
1696500941.199301,8.7
1696500956.7127657,6.6
1696500960.060948,7.35
1696500964.1995852,7.199999999999999
1696500967.99989,6.75
1696500971.304609,8.549999999999999
1696501024.043157,7.8
1696501027.9158955,6.3
1696501032.4429069,7.6499999999999995
1696501046.6530392,6.449999999999999
1696501051.3732312,5.7
1696501054.7086177,8.4
1696501058.0383859,9.6
1696501061.3705678,9.15
1696501064.6992269,9.15
1696501068.0344274,9.0
1696501071.3672135,9.0
1696501074.7293007,9.6
1696501078.3011725,8.85
1696501084.9808524,7.05
1696501090.7555664,5.25
1696501103.4160388,4.05
1696501113.410253,3.75
1696501121.821328,1.65
1696501125.148994,5.25
1696501128.4884272,8.85
1696501131.8080442,8.4
1696501135.146814,5.85
1696501138.4852316,2.25
1696501141.8072107,0.0
1696501145.153143,0.0
1696501152.5388334,0.0
1696501155.8712914,0.0
1696501160.0749483,0.0
1696501163.4062712,0.0
1696501166.7354045,3.0
